timestamp,price,volume,price_change,price_ma_7,price_ma_30,price_std_7,volume_ma_7,target,price_lag_1,price_lag_3,price_lag_7
1733875200000,96649.71446771531,125835977742.51114,-0.007233733835508183,98725.38349961364,94904.29011649969,1708.3430057141375,114417918826.98546,1,97353.94700820887,99781.82999198174,96031.63097759831
1733961600000,101123.61811033697,118484957960.76833,0.04628987956416686,99045.69045020717,95320.49672006996,1937.3351790142965,117311372207.37437,0,96649.71446771531,101235.3717025316,98881.4694561823
1734048000000,100000.80836535197,100092043319.81221,-0.011103338329527479,99445.5915932464,95711.70367405406,1775.3578166903353,104401622177.12782,1,101123.61811033697,97353.94700820887,97201.50036407741
1734134400000,101352.22971292294,78802903278.85962,0.013514104232373425,99642.50276557848,96073.8413286522,1914.6872929421843,99114518071.18668,1,100000.80836535197,96649.71446771531,99973.85150659826
1734220800000,101367.01064553364,57321924844.41535,0.00014583727119332757,99868.95714465734,96539.15792559995,2024.504417954671,98580345020.41965,1,101352.22971292294,101123.61811033697,99781.82999198174
1734307200000,104721.50151808978,70645074624.52869,0.03309253031330206,100366.97568973708,96998.27547305504,2724.4464172673274,99718532140.34459,1,101367.01064553364,100000.80836535197,101235.3717025316
1734393600000,106074.10723541168,115184737759.33566,0.012916217755799098,101612.71286505174,97513.86388444186,3086.6818904653437,95195374218.60442,0,104721.50151808978,101352.22971292294,97353.94700820887
1734480000000,106034.913402645,93417826250.1972,-0.00036949481629566794,102953.45557004171,98053.645266485,2566.027995865716,90564209719.70242,0,106074.10723541168,101367.01064553364,96649.71446771531
1734566400000,100355.5761481501,113692025885.44745,-0.05356101186152562,102843.7352897293,98381.01031820656,2671.560113359673,89879505137.51375,0,106034.913402645,104721.50151808978,101123.61811033697
1734652800000,97851.35377075805,100611554887.24123,-0.024953495097224887,102536.67034764447,98567.66703031906,3135.9479751950375,89953721075.71788,0,100355.5761481501,106074.10723541168,100000.80836535197
1734739200000,97691.43431692653,112340864006.62827,-0.0016343100802281851,102013.69957678784,98683.48076433854,3632.3532731268956,94744858322.54198,0,97851.35377075805,106034.913402645,101352.22971292294
1734825600000,97202.82496847633,53058382639.48845,-0.005001557729872985,101418.81590863678,98639.93764358695,4070.4840759921417,94135780864.69527,0,97691.43431692653,100355.5761481501,101367.01064553364
1734912000000,95094.27394862173,44619017105.36954,-0.02169228127411338,100043.49768442706,98512.16361035655,4383.00963801573,90417772647.67253,0,97202.82496847633,97851.35377075805,104721.50151808978
1734998400000,94644.91085464321,64937790292.61125,-0.004725448497785556,98410.75534431728,98411.01184496364,3859.6242537240805,83239637295.28334,1,95094.27394862173,97691.43431692653,106074.10723541168
1735084800000,98695.71400782601,49169088282.15742,0.042800010234085084,97362.29828791457,98433.67112759297,1984.8919461485125,76918389014.1348,1,94644.91085464321,97202.82496847633,106034.913402645
1735171200000,99344.95417367229,33963749856.44743,0.0065782002022376496,97217.92372013202,98645.01290234762,1754.2367822554697,65528635295.70622,0,98695.71400782601,95094.27394862173,100355.5761481501
1735257600000,95678.31244565405,45049342388.18843,-0.03690818279112906,96907.48924511716,98769.89562477215,1814.6929232346451,57591176367.2701,0,99344.95417367229,94644.91085464321,97851.35377075805
1735344000000,94331.94727053077,41498540807.666954,-0.01407179057310426,96427.56252420347,98714.92118138632,2006.8715877762256,47470844481.70421,1,95678.31244565405,98695.71400782601,97691.43431692653
1735430400000,95184.61945288602,22429850903.940086,0.009039060541280897,96139.24745054773,98699.02196454325,2021.8472563515224,43095339948.05444,0,94331.94727053077,99344.95417367229,97202.82496847633
1735516800000,93663.44751964067,24065314499.502274,-0.015981278719071734,95934.84367497901,98572.69530369445,2208.783500858247,40159096718.64483,0,95184.61945288602,95678.31244565405,95094.27394862173
1735603200000,92627.28213113277,57595164139.4709,-0.01106264413650393,95646.6110001918,98443.16662983279,2515.5131180876956,39110150125.339066,1,93663.44751964067,94331.94727053077,94644.91085464321
1735689600000,93507.85874741491,45327464907.74362,0.009506665811866322,94905.48882013306,98316.37168171853,2213.5655600108385,38561346786.13709,1,92627.28213113277,95184.61945288602,98695.71400782601
1735776000000,94384.1761153871,23275007789.496334,0.009371590577636146,94196.80624037805,98268.0730112302,1036.5433139135368,37034383633.71551,1,93507.85874741491,93663.44751964067,99344.95417367229
1735862400000,96852.14681235075,45157338602.617516,0.026148140488575944,94364.49686419185,98295.4235390553,1360.494037068933,37049811664.34823,1,94384.1761153871,92627.28213113277,95678.31244565405
1735948800000,98084.34279280754,35721645948.10051,0.012722443652634308,94900.55336737426,98268.85265027614,1954.923800039407,36224540970.12446,1,96852.14681235075,93507.85874741491,94331.94727053077
1736035200000,98256.73876849933,20979035420.980793,0.0017576299211787827,95339.42755531901,98304.02726375687,2336.855986849322,36017281615.41599,1,98084.34279280754,94384.1761153871,95184.61945288602
1736121600000,98364.58946599838,20060293834.7155,0.0010976417378674164,96011.01926194155,98250.38519573686,2447.816134933513,35445135806.160736,1,98256.73876849933,96852.14681235075,93663.44751964067
1736208000000,102229.39453189743,46111387334.46171,0.03929061349089458,97382.74960490792,98331.97068040073,2886.688647150571,33804596262.587994,0,98364.58946599838,98084.34279280754,92627.28213113277
1736294400000,96952.09886774956,60610257147.15405,-0.05162209644605942,97874.78390781287,98189.19491924132,2361.9845006129262,35987852296.78948,0,102229.39453189743,98256.73876849933,93507.85874741491
1736380800000,95016.71440989176,65790469838.34392,-0.019962274983833184,97965.14652131354,98111.28716596408,2213.6276925666243,42061489732.339134,0,96952.09886774956,98364.58946599838,94384.1761153871
